,slope,R2,Serialnum,Calnum
co2kzero,-0.000916953,0.99945877,cga-5030,1
co2kspan,-0.000809754,0.995701484,cga-5030,1
co2kspan2,-0.002945887,0.980653787,cga-5030,1
co2kzero,-9.00E-05,0.95026218,cga-5045,1
co2kspan,-0.000498719,0.987386818,cga-5045,1
co2kspan2,-0.002522072,0.969528478,cga-5045,1
co2kzero,-0.000310205,0.988720216,cga-5178,1
co2kspan,-0.000639885,0.992085234,cga-5178,1
co2kspan2,-0.002133776,0.965742902,cga-5178,1
co2kzero,-9.61E-05,0.955083117,cga-5176,1
co2kspan,-0.001017737,0.996926893,cga-5176,1
co2kspan2,-0.002912411,0.977608656,cga-5176,1
co2kzero,-0.000126908,0.935680868,cga-5272,1
co2kspan,-0.001281675,0.987050579,cga-5272,1
co2kspan2,-0.004246081,0.939366712,cga-5272,1
co2kzero,-0.000165878,0.951400528,cga-5270,1
co2kspan,-0.001350448,0.997549637,cga-5270,1
co2kspan2,-0.003959779,0.986356476,cga-5270,1
co2kzero,-0.000869872,0.999683703,cga-5029,1
co2kspan,-0.000763337,0.993217692,cga-5029,1
co2kspan2,-0.002590978,0.972739585,cga-5029,1
co2kzero,-0.000205246,0.990919497,cga-5269,1
co2kspan,-0.001049437,0.998966485,cga-5269,1
co2kspan2,-0.003529328,0.995158631,cga-5269,1
co2kzero,-0.00042225090453229617,0.9916369735579664,cga-5081,1
co2kspan,-0.0005821158344577385,0.9984526557854656,cga-5081,1
co2kspan2,-0.0030669816705135152,0.9960141263824784,cga-5081,1
co2kzero,-0.00020524613654456376,0.990919497287693,cga-5269,1
co2kspan,-0.001049437189379969,0.9989664850801369,cga-5269,1
co2kspan2,-0.0035293282181008408,0.9951586307383511,cga-5269,1
co2kzero,-8.386093024673367e-05,0.9101064124887329,cga-5174,1
co2kspan,-0.0008152410578261853,0.9979933810611441,cga-5174,1
co2kspan2,-0.0031423045574226066,0.9946695361586241,cga-5174,1
co2kzero,0.0006635377480486116,0.08005978069847319,cga-5271,1
co2kspan,0.00029351988296675934,0.002350855553800879,cga-5271,1
co2kspan2,0.0022895120785408132,0.004149243419295678,cga-5271,1
co2kzero,0.00248654622092741,0.0004904251506702151,cga-5180,1
co2kspan,35.049140957915945,0.022751435783513907,cga-5180,1
co2kspan2,-0.004534497202227744,0.27868759499033646,cga-5180,1
co2kzero,-9.774490941530712e-05,0.9825783556478175,cga-5379,1
co2kspan,-0.0009532150330253982,0.9830991243901811,cga-5379,1
co2kspan2,-0.0023096309402697492,0.9872608326388251,cga-5379,1
co2kzero,-0.0004253762671312988,0.9945387887992446,cga-5352,1
co2kspan,-0.0006639964103701502,0.991703480288978,cga-5352,1
co2kspan2,-0.0027701550174070717,0.9947783980696598,cga-5352,1
co2kzero,-0.00023203193862845795,0.9973999090157611,cga-5353,1
co2kspan,-0.0006962769646787859,0.992939646583972,cga-5353,1
co2kspan2,-0.0029124374463962662,0.9961400892781935,cga-5353,1
co2kzero,-0.00022896073162155905,0.9883086899726379,cga-5375,1
co2kspan,-0.0007207956017597186,0.9930406162799578,cga-5375,1
co2kspan2,-0.00263893521284161,0.9953045594963237,cga-5375,1
co2kzero,-0.00021344238090315062,0.9776128605016283,cga-5381,1
co2kspan,-0.0016211223395512574,0.9890049515617728,cga-5381,1
co2kspan2,-0.0016232292458048549,0.8749199491020205,cga-5381,1
co2kzero,5.930484561500519e-05,0.6570929926843969,cga-5380,1
co2kspan,-0.0005987847386370416,0.9922262880529307,cga-5380,1
co2kspan2,-0.0027228145070774105,0.991897243607811,cga-5380,1
co2kzero,-0.0001177240882319353,0.8796180205147706,cga-5377,1
co2kspan,-0.0006948738175639678,0.993897909886914,cga-5377,1
co2kspan2,-0.0027129484909159496,0.9918670643392838,cga-5377,1
co2kzero,1.367925217653602e-05,0.2896336072564283,cga-5354,1
co2kspan,-0.0011195369368979954,0.9975321890014209,cga-5354,1
co2kspan2,-0.0038687102628089894,0.9941266133422179,cga-5354,1
co2kzero,-0.000548635,0.995867176,cga-5177,1
co2kspan,-0.000592832,0.997960725,cga-5177,1
co2kspan2,-0.002407949,0.993236927,cga-5177,1
co2kzero,-9.241307484543787e-05,0.9457696474461514,cga-5273,1
co2kspan,-0.0012336242445384422,0.9988748697994105,cga-5273,1
co2kspan2,-0.004313675705653673,0.9946964646496267,cga-5273,1
co2kzero,-0.00041293439177707704,0.9986763535479068,cga-5376,1
co2kspan,-0.0008830065040350939,0.9988199458328655,cga-5376,1
co2kspan2,-0.0033560153672481793,0.9972596502806998,cga-5376,1
co2kzero,-4.3267084446014496e-05,0.6497253584424193,cga-5378,1
co2kspan,-0.0010093473143982046,0.9988918227450498,cga-5378,1
co2kspan2,-0.003664230776223682,0.9955876408548757,cga-5378,1
